Year,Region,Species,Latitude,Latitude_std_err,Longitude,Longitude_std_err,Depth,Depth_std_err
1967,Northeast US Fall,ALL,0,0,0,0,0,0
1968,Northeast US Fall,ALL,0.17603739189253,0.127496339460753,0.188498371391337,0.236475787380734,2.8093367706675,2.98081995313805
1969,Northeast US Fall,ALL,0.239860548485527,0.14156830141278,0.251617159195682,0.187790637367739,-2.10854807169621,2.99875945143056
1970,Northeast US Fall,ALL,0.33452392367108,0.110000674783302,0.548124861238473,0.15075822911969,5.70689699179052,3.53608452823493
1971,Northeast US Fall,ALL,0.240048000198552,0.164327384895878,0.282790793766589,0.242001050174138,-0.992366816586004,4.38335387427523
1972,Northeast US Fall,ALL,0.39574280722514,0.137093553104473,0.539956358983238,0.254420359848876,6.70953427262054,3.94698806425203
1973,Northeast US Fall,ALL,0.459812949404034,0.13334759189363,0.566069686445428,0.163473478698769,9.02893009274555,3.83724806830021
1974,Northeast US Fall,ALL,0.554867684577655,0.153619830837271,0.791390228799853,0.248808393140007,4.23439322732166,4.71841788794606
1975,Northeast US Fall,ALL,0.630233455164922,0.137616061809279,0.958436313849442,0.19606499590318,6.88651911612769,4.17364545575396
1976,Northeast US Fall,ALL,0.455488965910751,0.122628042030411,0.740150889513733,0.198121370451952,5.41006140112037,3.86726110895485
1977,Northeast US Fall,ALL,0.450427552962168,0.161493347507334,0.684910307230348,0.184730359033127,4.30392692844138,3.89074702710752
1978,Northeast US Fall,ALL,0.636375053824602,0.129769363371212,1.05104854255656,0.192489331257818,9.43684032044465,3.68331244261356
1979,Northeast US Fall,ALL,0.508029075838058,0.14383027817139,0.920637199796169,0.211434718384688,5.55080328484417,4.20538233333583
1980,Northeast US Fall,ALL,0.673162409081557,0.153477726735835,0.769569106714779,0.230113709757477,10.0821671071383,3.82291082764269
1981,Northeast US Fall,ALL,0.370955266645664,0.152675358421192,0.539490414669454,0.216733757534144,2.38578183901067,3.31100475123269
1982,Northeast US Fall,ALL,0.277327745846511,0.159912097532879,0.419808705406127,0.257320057556932,-3.2909128572832,5.66830129449379
1983,Northeast US Fall,ALL,0.485422494056102,0.150128506476666,0.380698727169898,0.250248693661736,4.99236531749508,3.79207809665552
1984,Northeast US Fall,ALL,0.426315839946996,0.123610955383882,0.52321168735954,0.192177395522004,7.70484182631741,4.23137386319853
1985,Northeast US Fall,ALL,0.571632363753378,0.119655227109153,0.514848044489468,0.180044026593737,6.38883295410468,3.90441129033635
1986,Northeast US Fall,ALL,0.778003669584183,0.131130721962565,1.16128816360429,0.214790021234439,12.0803325551761,4.93995502199174
1987,Northeast US Fall,ALL,0.535247867747862,0.141882119081686,0.791783772939856,0.213872259630737,7.200103438609,4.67871805978092
1988,Northeast US Fall,ALL,0.774654262038838,0.150602882801596,1.06995515862713,0.22216585797519,4.50600531294449,4.21122714609806
1989,Northeast US Fall,ALL,0.549594411398909,0.139166107174624,0.811876593016249,0.193601130490478,7.57394691923791,4.76386620942774
1990,Northeast US Fall,ALL,0.624729710352993,0.140820925227354,0.865657637078301,0.231527171001444,9.6827984059775,4.68166222186442
1991,Northeast US Fall,ALL,0.699252308093695,0.132049897064627,1.11578594492722,0.227232815080054,14.6430589132747,5.32441180069345
1992,Northeast US Fall,ALL,0.593848385857058,0.147002879741026,1.12539705019459,0.235965630232362,7.54215930496146,5.11736388472651
1993,Northeast US Fall,ALL,0.858059946936715,0.157351234026297,0.991660395510296,0.233366932036884,5.30653624223368,4.77369266082091
1994,Northeast US Fall,ALL,0.488905366982864,0.184405790763435,0.848258897521273,0.255864771087723,-2.5581416478942,5.01672830683195
1995,Northeast US Fall,ALL,0.73213946559205,0.144111760278936,0.904089744144914,0.226183248627422,8.1431558839327,5.27180102018466
1996,Northeast US Fall,ALL,0.602361362360823,0.152713233738331,0.896915184912229,0.210217952673576,9.14772159801433,4.23820377089976
1997,Northeast US Fall,ALL,0.499709551494892,0.135412096582725,0.880840730078552,0.26206139970393,2.56342413844885,4.0300622928392
1998,Northeast US Fall,ALL,0.469036608274011,0.143397430130262,0.712228768876175,0.236889032744831,8.26952130351731,4.95141272338066
1999,Northeast US Fall,ALL,0.820055841470366,0.149721344057775,1.12484213435051,0.231178998915717,13.2588119668745,5.76768088520305
2000,Northeast US Fall,ALL,0.780870635212458,0.141411018444911,0.977240881067647,0.239823545062542,19.7116091320276,5.52811512993638
2001,Northeast US Fall,ALL,0.576636284571005,0.14899682561147,0.710316133323241,0.200976816906738,12.1657603315425,5.56687885080009
2002,Northeast US Fall,ALL,0.511853443967064,0.141695041923536,0.755451865494195,0.221299066277976,8.28174280300897,5.25747011367938
2003,Northeast US Fall,ALL,0.382701920565705,0.146989299653752,0.383437042297332,0.208999116439549,3.38952733263037,4.62551950899434
2004,Northeast US Fall,ALL,0.304669928139056,0.152700395536385,0.833286653723921,0.218056019363638,8.10557347935335,5.21413100484931
2005,Northeast US Fall,ALL,0.342539454179511,0.176963867578499,0.313971504620174,0.262152676180257,4.03628563845994,5.66497826895587
2006,Northeast US Fall,ALL,0.821928010099063,0.16826403872368,0.884797281903676,0.260137628817437,3.67007795449652,4.85117913734802
2007,Northeast US Fall,ALL,0.608600535399976,0.175578151394063,0.518708765198632,0.2590859422555,4.02619320924539,5.66164563082869
2008,Northeast US Fall,ALL,0.47487298351166,0.161182706774449,0.969575876316645,0.248748396697372,0.976780711117951,6.00148989527186
2009,Northeast US Fall,ALL,0.650385456249251,0.139003997082922,0.906619977513109,0.223731031101875,10.8603857503438,4.58239358224957
2010,Northeast US Fall,ALL,0.516718291063817,0.154859100192381,0.36063195500958,0.220494198565563,11.5156407958404,4.95352843683362
2011,Northeast US Fall,ALL,0.524043428181131,0.159415549250897,0.507994456996241,0.248365858133306,9.77685097553032,5.88290003213251
2012,Northeast US Fall,ALL,0.797180935042954,0.163780933536567,0.977721929274461,0.243432944031017,8.02514317438189,4.96590661668044
2013,Northeast US Fall,ALL,0.763069008516653,0.167609491766839,0.951229297880832,0.225199407878752,4.88007065463755,4.95077020866315
2014,Northeast US Fall,ALL,0.821256769153848,0.160881725901216,0.857644474180402,0.195463824566077,17.7377029875867,4.69979120382018
2015,Northeast US Fall,ALL,0.790456882315989,0.131865243883568,0.873539979127465,0.18583764244061,12.1727491165294,4.68052411303295
1968,Northeast US Spring,ALL,0,0,0,0,0,0
1969,Northeast US Spring,ALL,0.0691398493130389,0.0912373367009333,0.339424884960689,0.134916334190863,4.27812593988937,3.47249066831684
1970,Northeast US Spring,ALL,0.140465970326821,0.121346867385252,0.457107552151003,0.210537813454916,5.67254350527741,6.35485306131817
1971,Northeast US Spring,ALL,-0.014112976512899,0.106261812517902,0.221420543917362,0.18668835967002,-0.580340695198377,3.68025823214683
1972,Northeast US Spring,ALL,0.0982667455695903,0.133844188483559,0.202877352126442,0.212141151856613,-5.89165193539964,3.86834496442615
1973,Northeast US Spring,ALL,0.149570416825249,0.090428578585786,0.409260495772899,0.169203831904796,-2.89218640950951,3.99103697938994
1974,Northeast US Spring,ALL,0.369632085511839,0.122451937541892,0.688468111036941,0.191994050158636,-9.52579757256249,4.45291141755027
1975,Northeast US Spring,ALL,0.380657711290248,0.171527517428194,0.878507543343844,0.279653276646638,2.67324750430373,5.8497265066815
1976,Northeast US Spring,ALL,0.465167670462662,0.0982605540079396,0.935412666569751,0.167278147694517,-1.28592023365008,3.91830513162467
1977,Northeast US Spring,ALL,0.338925355199867,0.0944278657004371,0.573367697876959,0.175110748645574,0.0468030241171796,3.90085706071724
1978,Northeast US Spring,ALL,0.183259566911655,0.0864720241107733,0.3613156572649,0.156092973775687,7.80348281343576,3.65767345315261
1979,Northeast US Spring,ALL,0.435814199557472,0.0925906497454143,0.800695506332857,0.153603964432562,2.4860795608182,2.73252527005165
1980,Northeast US Spring,ALL,0.289916936089933,0.0960385128034036,0.571229270416554,0.158454692366277,-3.05764170004623,3.9104406557729
1981,Northeast US Spring,ALL,0.370874270591671,0.0914961391214951,0.696896103496733,0.179429397111249,5.86628074758957,4.18353651142907
1982,Northeast US Spring,ALL,0.147950212208534,0.0871314489823571,0.249354678614789,0.142008346448116,-0.474258188789882,3.93713362540521
1983,Northeast US Spring,ALL,0.514278886992999,0.121725352970976,0.864789513979786,0.192396934944655,-0.993058173700847,2.9987792005718
1984,Northeast US Spring,ALL,0.367609011622964,0.143024182952306,0.534065215702539,0.202613795312056,5.64129141438225,4.03754019441467
1985,Northeast US Spring,ALL,0.493291093800621,0.114049693499959,0.755655766750849,0.190879550066306,8.39204256823368,4.2645434626922
1986,Northeast US Spring,ALL,0.612270283782715,0.129702772710712,0.925175951273235,0.208564309946365,4.40210541652095,4.06620466721977
1987,Northeast US Spring,ALL,0.55436445642448,0.124622599683666,0.888725468648067,0.187210856344541,1.64477820853913,4.28668568293081
1988,Northeast US Spring,ALL,0.462772234278788,0.102271767116144,0.786312165146761,0.159752354792567,1.76447945862815,4.38091292863118
1989,Northeast US Spring,ALL,0.439145898242175,0.113893380733724,0.693799083599063,0.167253877639803,12.2721008449327,4.47989729386777
1990,Northeast US Spring,ALL,0.385565016753794,0.117967203176547,0.541498842107499,0.158921575969557,7.8796236356114,4.20034186325257
1991,Northeast US Spring,ALL,0.314137017908085,0.11284389880584,0.454709710019943,0.19923380772414,1.78694128943882,3.73963219771519
1992,Northeast US Spring,ALL,0.580616759446283,0.134785353882854,1.03231950705663,0.210592772318962,12.8730760022821,4.50668113134034
1993,Northeast US Spring,ALL,0.470183806099361,0.105167816158278,0.779434553781065,0.177007478062664,14.078454293127,4.34221911511902
1994,Northeast US Spring,ALL,0.707947578356766,0.148514118188203,1.23352359648749,0.19540954186267,20.5495589725553,5.52066765205254
1995,Northeast US Spring,ALL,0.73470881967423,0.144117739741554,0.991563848435897,0.177708686015768,9.04716292904071,4.24176598381183
1996,Northeast US Spring,ALL,0.656483766042834,0.133621181522414,1.18820210762676,0.22475146508775,17.2301400259514,4.51956774559386
1997,Northeast US Spring,ALL,0.66475035568589,0.140806465363434,0.769442636131866,0.191947993025815,3.60354503907411,5.14492189347333
1998,Northeast US Spring,ALL,0.655714666785305,0.153064137525439,0.709732981261265,0.214978287671435,19.2447249549735,4.46207569070096
1999,Northeast US Spring,ALL,0.54026873401268,0.172487604132818,0.871216593761324,0.24998752300522,9.83443352249703,4.83139935104282
2000,Northeast US Spring,ALL,0.851152138013443,0.184807822415801,0.955709397693729,0.244382996625628,8.32365519752188,4.97346460958672
2001,Northeast US Spring,ALL,0.621570199025643,0.148678982431028,0.938859001235594,0.237130021971831,8.78760470030091,4.58450792157576
2002,Northeast US Spring,ALL,0.643562983380718,0.152642728840888,0.55804565926596,0.204569629578841,13.5512645866441,5.27870207502604
2003,Northeast US Spring,ALL,0.445256084710784,0.163327836638187,0.575884103186147,0.230155053368256,16.0889937024138,6.60542230678113
2004,Northeast US Spring,ALL,0.601823383102658,0.148044940482637,0.832076157063932,0.210938627700317,12.6308440319216,5.95238922628248
2005,Northeast US Spring,ALL,0.195432406732554,0.183750438419764,0.579530075745506,0.294273145007753,22.0590377011644,6.5791004884822
2006,Northeast US Spring,ALL,0.563140767766455,0.171687687873692,0.634475732951083,0.254726671547348,14.5982802994817,6.96999743621809
2007,Northeast US Spring,ALL,0.556402609444769,0.1678849215906,1.0621929996656,0.232158707704574,24.3405687654868,6.7797455071205
2008,Northeast US Spring,ALL,0.236326270654748,0.166474354243871,0.332718870409999,0.265564435156442,13.8272104572856,7.89303601723041
2009,Northeast US Spring,ALL,0.689557680128927,0.152377037700468,0.985222680405375,0.220176689550235,15.4312150374827,4.66352528551938
2010,Northeast US Spring,ALL,0.269542056082182,0.176309522687267,0.589364945241294,0.262833469573123,19.2870707734985,5.48515891755229
2011,Northeast US Spring,ALL,0.67933130550023,0.189286734073821,0.834700666956797,0.244049999849505,18.4082185770875,5.6411708433531
2012,Northeast US Spring,ALL,0.866969954109473,0.189951694846531,0.948540468917137,0.253297674088834,14.7734946899956,5.42791315886681
2013,Northeast US Spring,ALL,0.900000833314779,0.169436895418802,1.27182729227988,0.246334483954802,27.2862693358086,5.54464336969371
2014,Northeast US Spring,ALL,0.627772847184885,0.17565727243019,0.6575173864585,0.251200121342227,9.43034771303507,4.9703688661133
2015,Northeast US Spring,ALL,0.837251835703294,0.188136036102365,1.04285896544179,0.26552201992056,32.2013713242334,5.90817689103112
1967,Northeast US Fall,Alosa aestivalis,40.5320598029839,0.0858919855998685,-71.0554451631613,0.336618405441974,71.0479532558463,7.62705954870153
1968,Northeast US Fall,Alosa aestivalis,40.5125164920037,0.133691206796599,-71.4080170332243,0.169356659004885,71.0527308713383,8.70591043509966
1969,Northeast US Fall,Alosa aestivalis,NaN,NA,NaN,NA,NaN,NA
1970,Northeast US Fall,Alosa aestivalis,40.6311016124429,0.158883359434171,-70.8984285599612,0.534709473060113,61.8831463215514,11.8368884408666
1971,Northeast US Fall,Alosa aestivalis,40.4849834123857,0.0758247348270656,-70.0399065637142,0.509144131715146,75.3551267700024,5.33808332103726
1972,Northeast US Fall,Alosa aestivalis,NaN,NA,NaN,NA,NaN,NA
1973,Northeast US Fall,Alosa aestivalis,41.5465337772277,NaN,-66.5554786287129,NaN,81.2475247524752,NaN
1974,Northeast US Fall,Alosa aestivalis,NaN,NA,NaN,NA,NaN,NA
1975,Northeast US Fall,Alosa aestivalis,42.0644269442775,0.314349962152259,-68.7283322995355,1.31887522879766,77.2957598556835,2.39863590558205
1976,Northeast US Fall,Alosa aestivalis,43.6797951013514,NA,-66.94563875,NA,148.695945945946,NA
1977,Northeast US Fall,Alosa aestivalis,40.4571824936582,0.205295248860058,-69.6394454914405,0.236949992124025,77.7935423317873,16.7804054054054
1978,Northeast US Fall,Alosa aestivalis,42.1435214784569,0.846490459069414,-70.0885948991544,0.81993167070683,93.9143444558228,13.2327713183243
1979,Northeast US Fall,Alosa aestivalis,41.1888566677423,0.323490942348279,-69.7632002089223,0.435221910122143,79.1907264248573,13.6139775857579
1980,Northeast US Fall,Alosa aestivalis,40.9754752152757,0.739049833209788,-71.5089573842802,0.619075770422534,43.1728530853674,15.8372127501853
1981,Northeast US Fall,Alosa aestivalis,40.476063982659,NA,-71.4201955317919,NA,73.4335260115607,NA
1982,Northeast US Fall,Alosa aestivalis,42.4059228743961,NA,-69.3857522028985,NA,221.908212560386,NA
1983,Northeast US Fall,Alosa aestivalis,41.4743904978424,0.266458542834887,-66.9664754151927,1.29146995200651,81.3403718365157,10.0736727344305
1984,Northeast US Fall,Alosa aestivalis,42.2133739407491,0.335421609048998,-69.5880091534807,1.01948781382586,74.7543625180561,5.58447579660063
1985,Northeast US Fall,Alosa aestivalis,41.8963926233557,0.647804700775082,-70.5429531303662,0.406156907279512,73.131065292807,4.01427222392358
1986,Northeast US Fall,Alosa aestivalis,43.1335664196839,0.812169809178744,-68.8726034232567,0.572758391304347,167.249190103852,61.0084541062802
1987,Northeast US Fall,Alosa aestivalis,42.107298581374,1.08858116204699,-68.6232505541789,1.04760366158607,106.768551748798,25.8827982426665
1989,Northeast US Fall,Alosa aestivalis,41.2970760284686,1.15372604550607,-69.7751379498514,0.189828723762174,84.5246127580872,8.93571042661852
1991,Northeast US Fall,Alosa aestivalis,43.6797951013514,NA,-66.94563875,NA,148.695945945946,NA
1992,Northeast US Fall,Alosa aestivalis,NaN,NA,NaN,NA,NaN,NA
1993,Northeast US Fall,Alosa aestivalis,41.3832448203125,NaN,-69.4779430234375,NaN,46.90625,NaN
1994,Northeast US Fall,Alosa aestivalis,40.476063982659,NA,-71.4201955317919,NA,73.4335260115607,NA
1995,Northeast US Fall,Alosa aestivalis,NaN,NA,NaN,NA,NaN,NA
1996,Northeast US Fall,Alosa aestivalis,42.4356497368421,NaN,-70.2858211,NaN,74.4631578947368,NaN
1997,Northeast US Fall,Alosa aestivalis,42.1933676045968,0.715548087823139,-69.6588577679442,0.810529250232991,76.6166964562409,15.064079003945
1998,Northeast US Fall,Alosa aestivalis,NaN,NaN,NaN,NaN,NaN,NaN
1999,Northeast US Fall,Alosa aestivalis,42.4356497368421,NA,-70.2858211,NA,74.4631578947368,NA
2000,Northeast US Fall,Alosa aestivalis,42.2025327890304,0.450823794981404,-69.2961196787559,0.669396697540222,188.481852057014,30.6183821799599
2001,Northeast US Fall,Alosa aestivalis,43.0600229291994,0.437237699217257,-69.8285576435093,0.559260395788143,88.9841722649052,9.12172017782077
2002,Northeast US Fall,Alosa aestivalis,42.6458791610554,0.358662850021028,-69.9256266262908,0.734741481715077,85.1098815892788,19.4905502329773
2003,Northeast US Fall,Alosa aestivalis,42.9633367482378,0.282564183579916,-69.1064860368802,0.748958546949975,123.795790036898,31.2736039659632
